sample_id,file_id,split_index,split_total,source_file,source_path,task_id,word_count,char_count,text,text_preview,ai_status,lipa_gi_compliant,label
n1,f1,1,1,007ba0b7-4361-46c3-88bb-c92760946e5e.docx,machinelearning\uploads\007ba0b7-4361-46c3-88bb-c92760946e5e.docx,ipophl-other,6,42,“I read all instructions before starting.”,“I read all instructions before starting.”,Not Ready,0,Not Ready
n2,f2,1,1,0e44f341-dd04-4618-8013-aa890963d2b2.docx,machinelearning\uploads\0e44f341-dd04-4618-8013-aa890963d2b2.docx,ipophl-other,134,1052,"Synthetic IPOPHL GI Dataset – Applicant Entity Establishment
This synthetic dataset is designed for Geographical Indication (GI) application preparation under IPOPHL guidelines. It models a qualified producers’ organization/cooperative for Kapeng Barako.
Dataset Scope
Fields include member profile, farm location, farm size, Coffea liberica production status, years in coffee farming, organizational membership, and GI eligibility indicators.
Important Note
The records are synthetic but based on realistic ranges derived from literature and the Kapeng Barako Manual of Specifications. They should be clearly labeled as synthetic if used for research.

Prepared as a realistic sample dataset for organizing a producers’ organization, LGU-supported 
group, or indigenous community applying for Geographical Indication registration. 

Dataset Summary 
100 synthetic producer records covering Batangas and Cavite Kapeng Barako areas. 
Species: Coffea liberica (Kapeng Barako) 
Purpose: Applicant organization establishment and GI readiness documentation.",Synthetic IPOPHL GI Dataset – Applicant Entity Establishment This synthetic dataset is designed for Geographical Indication (GI) application preparation under IPOPHL guidelines. It models a qualified producers’ organization/cooperative for ,Not Ready,0,Not Ready
n3,f3,1,1,13570809-26b2-4e51-880e-541bd49a6d15.docx,machinelearning\uploads\13570809-26b2-4e51-880e-541bd49a6d15.docx,ipophl-other,2769,17952,"Lesson 8
The Global Media Cultures 
Globalization and identity, globalization and human rights, globalization and culture, or globalization and terrorism are some concepts related to the study of globalization by many scholars. 

Situations created through globalization and media make people conceive they belong to one world called Global Village, a term coined by Marshall MacLuhan in early 1960’s, a Canadian media theorist, to express the idea that people throughout the world are interconnected through the use of new media technologies. 
According to scholars, the world is globalized in the 1900s upon the advancement of media and transportation technology. 

Globalization and Media - Globalization which refers to economic and political integration on a world scale, has a crucial cultural dimension in which the media has the central role. 
Five Time Periods in the Study of Globalization and Media
1. Oral Communication - Globalization as a social process is characterized by the existence of global economic, political, cultural, linguistic and environmental interconnections and flows that make the many of the currently existing borders and boundaries irrelevant.
	Human speech is the oldest and most enduring.
Languages as a means to develop the ability to communicate across culture are the lifeline of globalization
Without language there would be no globalization; without globalization there would be no world languages
2. Script Writing - is humankind’s principal technology for collecting, manipulating, storing, retrieving, communicating and disseminating information. Writing may have been invented independently three times in different parts of the world: in the Near East, China and Mesoamerica.
Cuneiform script - created in Mesopotamia, present-day Iraq, is the only writing system which can be traced to its earliest prehistoric origin.
clay tokens - This antecedent of the cuneiform script was a system of counting and recording goods with it. 
script- the very first writing. Humans communicate and shared knowledge and ideas through it.
The origin of writing was in the form of carvings such as wood, stone, bones and others. 
Script of Ancient Egyptian written in papyrus (plant). 
3. The Printing Press -The printing press is a device that allows for the mass production of uniform printed matter, mainly text in the form of books, pamphlets and newspapers. It revolutionized society in China where it was created.
Johannes Gutenberg further developed this in the 15th century with his invention of the Gutenberg press.
4. Electronic Media - It refers to the broadcast or storage media that take advantage of electronic technology. They may include television, radio, internet, fax, CD-ROMs, DVD, and any other medium that requires electricity or digital encoding of information. The term electronic media is often used in contrast with print media.
5. Digital Media - Phones and television are now considered digital while computer is considered the most important media influencing globalization. Computers give access to global and market place and transformed cultural life. The following are the companies involved in globalization: Microsoft, Apple, Google, and Facebook.

Popular Music and Globalization
Music - participates in the reinforcing of boundaries of culture and identity.
Popular music - explains the complex dynamics of globalization not only because it is popular but music is highly mediated, is deeply invested in meaning and has proven to be an extremely mobile and resourceful capital
World music - is defined as the umbrella category which various types of traditional and non Western music are produced for Western consumption.

Lesson 9
The Globalization of Religion 
Globalization implicates religions in several ways. It calls forth religious response and interpretation. Religions played important roles in bringing about and characterizing globalization. Among the consequences of this implication for religion is that globalization encourages religious pluralism.

Religions - identify themselves in relation to one another, and they become less rooted in particular places because of diasporas and transnational ties.

Perspectives on the Role of Religion in the Globalization Process
1. The Modernist Perspective. It is the perspective of most intellectuals and academics. Its view is that all secularizations would eventually look alike and the different religions would all end up as the same secular and “rational” philosophy. It sees religion revivals as sometimes being a reaction to the Enlightenment and modernization.
